id,replied_by_pinol,parent_comment_id,text,author,no_of_replies
2206098136139310-1,False,0,Soon our first 3 WELL PUMPS/BISOL SOLAR Panels SPIS Systems will be fully commissioned (currently under installation). With the next batch already under planning phase.. We are very honoured to be part of this project in the Philippines through our local partners..,Ed Skinner,0
2206098136139310-2,False,0,"Sir Sana sa probinsya Ng Occ. Mindoro magkaroon din Ng ganyan.. the province of OCC mindoro is one of the biggest producer of rice, corn, onion, etc. Farmers deserve to receive like govt assistance...",Rtc Casabar,3
2206098136139310-3,False,2206098136139310-2,Rtc Casabar Sir hingi p kayo ng cold storage pra kompleto na gamit nyo!,Gerardo Empleo Suello,0
2206098136139310-4,False,2206098136139310-2,Gerardo Empleo Suello oo nga eh. Puro politika mga leaders namin dito. Ty sir,Rtc Casabar,0
2206098136139310-5,False,2206098136139310-2,Through our local partners we can supply the complete solution from Europe. Top quality technology and quality. Plus full local support.,Ed Skinner,0
2206098136139310-6,False,0,"Good job sir Manny, hoping to have those solar irrigations too here in Quezon.",Hazel Nomabiles,0
2206098136139310-7,False,0,I hope Isabela will receive the same... Isabela needs these things also...,Alvin Bullanday-Ferrer Hernandez-Laguinlin,0
2206098136139310-8,False,0,How to grant this kind of equipment?our farmers need this badly in mindoro.,Gef'ford Br'yan,2
2206098136139310-9,False,2206098136139310-8,Gef'ford Br'yan Sir lapitan nyo RD ng DA jan s lugar nyo. Dapat meron kayo coop.,Gerardo Empleo Suello,0
2206098136139310-10,False,2206098136139310-8,"We are ready to provide solutions in Mindoro, as we are in other regions right now... We already made presentations in San Jose and other areas..",Ed Skinner,0
2206098136139310-11,False,0,"pwede po ba secretary Manny Pinol. sir sa Matucay ,Allacapan,Cagayan.along Linao River as source of water.",Benjamin Collado,0
2206098136139310-12,False,0,Sir Denz Z Ortiz Ed Brisenio Leandro Leviste kayang kaya ito di ba? If only Govt would look within to find out kaya naman pala. Govt should invest on R&D. #SolarPowerPhilippines #RamPumpPhilippines,Zyrel Chica,1
2206098136139310-13,False,2206098136139310-12,Sana na nga po nagsama sama tayong mga solarista dito sa Pilipinas...Panels from Solar Philippines....installation kay Denz Z. Ortiz and othwra like Engr. Romero .consultant si sir Ed Ed Brisenio..,George Pataray,0
2206098136139310-14,False,0,Good it’s about time help farmers !!!,Crisogono Guarin Pajuyo Jr.,0
2206098136139310-15,False,0,Work lng ng Work sir Manny.. Thank You for this wonderful Project.,Thor Vic,0
2206098136139310-16,False,0,Wow!...Cagayan is getting some attention!...💚💜,Lea Diche Delima,0
2206098136139310-17,False,0,"Congrats! keep it up, Sir!",Rommel Langub,0
2206098136139310-18,False,0,What do we do to qualify po?,Filomena Ayson Roc,0
2206098136139310-19,False,0,God bless Sir,Sher Win,0
2206098136139310-20,False,0,Two thumbs up ako syo sec manny..,Mel Panganiban,0
2206098136139310-21,False,0,"Sec Manny please review your project cost now! Mura n po mga gamit ngaun unlike before! Parang yong price nyo 2016 pa po! If you can rduce the price, mas marami p farmers makinabang di ba?",Gerardo Empleo Suello,0
2206098136139310-22,False,0,640k worth of diesel for the 32 ha. Nice,Raymer Tan,0
2206098136139310-23,False,0,Good jon working secretary,HaroLd CaYme,0
2206098136139310-24,False,0,Wow,知らない ぶた エリー,0
2206098136139310-25,False,0,Congrats 👍🤗,Randolph Cruz,0
2206098136139310-26,True,0,Is it possible to procure this privately Secretary MannyPiñol?,Bernard Francisco,5
2206098136139310-27,False,2206098136139310-26,Bernard Francisco yes there are local companies constructing spis.,MannyPiñol,0
2206098136139310-28,False,2206098136139310-26,MannyPiñol  SIR UNG CONCERN KO PO SA GOAT RAISINGS DITO SA BAYAN NG TARLAC. Ung CITY VET. Provincial vet.  D.A  jusko di namin marandaman mga nag aalaga ng mga animals.  Dami ko na comment.,Nevoj Nosis,0
2206098136139310-29,False,2206098136139310-26,Nevoj Nosis hindi under sa DA and provincial at saka city vets. Under po sila sa LGU.,MannyPiñol,0
2206098136139310-30,False,2206098136139310-26,MannyPiñol  Haay salamat. 😊 Sir meron po ako PM.,Nevoj Nosis,0
2206098136139310-31,False,2206098136139310-26,MannyPiñol :  are there govt.assisted funding programs for local cooperative Association to do and make a positive contribution for many farmers and citizens!  KMG DA Programs!,Reynaldo A. Juan,0
2206098136139310-32,False,0,Thanks Secretary.,Junas Araya,0
2206098136139310-33,False,0,Where to buy solor panel for my farm?,Jefmor Morante,0
2206098136139310-34,False,0,Good job sir. People need to know about these projects...,Mike Francisco,0
2206098136139310-35,False,0,Maraming salamat sir GOD Bless,Demetrio D. Tang,0
2206098136139310-36,False,0,sir manny how much is the cost of 1 module and the area it can potentially irrigate? can we reconfigurate the size to just irrigate a hectare or below for veggie production? thanks po.,Samson Mate,8
2206098136139310-37,False,2206098136139310-36,Meron po tayong design for vegetables or high value crops sir.,Daisy Loads,0
2206098136139310-38,False,2206098136139310-36,"Samson Mate Daisy, I need one for our one has module. How do we reach the Vendor?",Sylvia Munoz Ordonez,0
2206098136139310-39,False,2206098136139310-36,Daisy Loads how much will it cost for  constructing d design suited for veggie and/or hvc production? is the design free for interested persons?,Samson Mate,0
2206098136139310-40,False,2206098136139310-36,"Samson Mate, 600,000 po.",Daisy Loads,0
2206098136139310-41,False,2206098136139310-36,Daisy Loads very expensive pala. tnx for d information,Samson Mate,0
2206098136139310-42,False,2206098136139310-36,We always design the SPIS project according to the requirements of the end user. Next month we installing a system on an Organic Vegetable farm in Tagaytay..,Ed Skinner,0
2206098136139310-43,False,2206098136139310-36,Samson cost relates to how much water you need per day plus location and depth of well. But probably between Ph450 to 600k,Ed Skinner,0
2206098136139310-44,False,2206098136139310-36,Ed Skinner thank you very much for the info. I will try to conduct location specific cost comparison (long-term) between the solar powered irrigation vs electric powered system with reservoir for a 1 hectare veggie farm. I am interested to venture into high value veggie production.,Samson Mate,0
2206098136139310-45,False,0,Sir how can i request solar powered irrigation?,Jewel De la Cruz,0
2206098136139310-46,False,0,that is the future of our agrix :D,Da Mags,0
2206098136139310-47,False,0,Good job for all yu have done sir Manny its time for farmers to shine I salute u sir !,Genie Bee,0
2206098136139310-48,False,0,Thank you sir MannyPiñol 👏👏👏,Dhabi Laput Alforque,0
2206098136139310-49,False,0,"Hon. Sec,we will be grateful if Bataan( at Region 3) ; comprising of 12 municipalities;  be one of the beneficiaries of the SPIS Project. May I suggest Samal, in particular. Thank you in Advance👍",Tomas Enriquez,0
2206098136139310-50,False,0,God Bless you sir!!!,Jerome Buhay,0
2206098136139310-51,False,0,More and more pls,Jeffrey Luke Yu Martinez,0
2206098136139310-52,False,0,This is a good news,Silvino Ligeralde,0
2206098136139310-53,False,0,***Replied sticker/image***,Nelly Pascual,0
2206098136139310-54,False,0,***Replied sticker/image***,Indira Sabillena,0
2206098136139310-55,False,0,G double O D  J O B...,Cacao Austria Kalimpo,0
2206098136139310-56,False,0,Wow great job,Mario Edna Elsy Fernandes,0
2206098136139310-57,False,0,wow!😁,Nelia Barredo,0
2206098136139310-58,False,0,Fake news,Jordan Massagan,4
2206098136139310-59,False,2206098136139310-58,"Hayaan nyo na po miss Hope OBrien, baka po motto ni sir Jordan Massagan eh, To See is to Believe... Igalang nlang po natin mam...",Cherry Correos Tibay,0
2206098136139310-60,False,2206098136139310-58,Cherry Correos Tibay - am I not entitled to my opinion?,Hope OBrien,0
2206098136139310-61,False,2206098136139310-58,Jordan Massagan - Fake News? 😂😂😂,Hope OBrien,0
2206098136139310-62,False,2206098136139310-58,Hope OBrien kaya mga sabi nya ang motto daw cguro ni mr jordan is to see is to believe..haha.kaya daw fake news kc hindi nmn nya nakita sa sariling mga mata  bulag kc yan c jordan😂😂😂,Riz Dy,0
2206098136139310-63,False,0,Gina Guzman Viloria,Mae Donna Viloria,0
2206098136139310-64,False,0,Jasper Gurrea,Ian Serdoncillo,0
2206098136139310-65,False,0,Aristotle Atal,Bolet Kin,0
2206098136139310-66,False,0,Uncle Benjamin Collado,Gary Jay Maramag,1
2206098136139310-67,False,2206098136139310-66,Gary Jay Maramag ty atty but my prob.is how?,Benjamin Collado,0
2206098136139310-68,False,0,Right,Lilia Ygay Griffiths,0
2206098136139310-69,False,0,Sana All,Jherick Earl Meneses,0
