id,replied_by_pinol,parent_comment_id,text,author,no_of_replies
2206531546095969-1,False,0,Kailan kaya na FARMERS dectate price of their products.,Chita Parubrub,0
2206531546095969-2,False,0,"I know the place, we might try to see it Bernard Francisco",Ella Arellano,1
2206531546095969-3,False,2206531546095969-2,Ella Arellano yassss,Bernard Francisco,0
2206531546095969-4,False,0,Sec.Manny gumagawa po kami ng Ferrocement tanks na may water holding capacity ng 10 to 100 cu.m. and above. More than one half po ang ma save kumpara sa reinforced concrete  water reservoir. Sana makatulong kami sa solar irrigation projects  mo po in line with Pres.Duterte Build Build Program.,Erwin Ronello Pamplona,0
2206531546095969-5,False,0,***Replied sticker/image***,Indira Sabillena,0
2206531546095969-6,False,0,"Among tinahud nga Secretary of Agriculture...may we request your kind attention and favorable action to help our Hon.Mayor with his legislative body to irrigate our irrigable areas here in our municipality of Baliangao..We have here still  1,000 hectares more or less irrigable areas...presently only 650 hectares irrigated,..Thank You much secretary for the positive response..",Corie Escobal,0
2206531546095969-7,False,0,Ok lang po Secretary better luck next time Sir hehehe ♥️♥️,Jetzkiephilip Asuncion Patacsil,0
2206531546095969-8,False,0,***Replied sticker/image***,Clintads Deroca,0
2206531546095969-9,False,0,It is the performance that really counts other than actual physical presence.,Lillian Aubrey Naval,0
2206531546095969-10,False,0,Very nice,Veronica Bretana,0
