id,replied_by_pinol,parent_comment_id,text,author,no_of_replies
2236500376432419-1,False,0,Good job job & thank you Sir! You are one of the most hardworking cabinet members of PRRD! Godspeed!,Maria Jennifer Mejorada Lagat,0
2236500376432419-2,False,0,A disaster to be pated by generations. Instead of knowing where this irrigation that use only 30% of water should be tap and 85% sure productivity...Where all Filipino officials come from to learn the agrultural technique.,Genly Carreon,0
2236500376432419-3,False,0,"Sir Manny, i wanna know if these irrigation projects are only for rice farm lands?",Reli Mabituin,0
2236500376432419-4,True,0,"How can we avail this sir MannyPiñol, thank you and have a good day",Analyn Comia,2
2236500376432419-5,False,2236500376432419-4,Analyn Comia we will be identifying target areas.,MannyPiñol,0
2236500376432419-6,False,2236500376432419-4,"MannyPiñol thank you Sir, 😘😘😘",Analyn Comia,0
2236500376432419-7,False,0,Nice.. Here in Maayon Capiz please..,Ronjel Delfin,0
2236500376432419-8,False,0,"Sec Piñol, gov... ganito... please consider 80% financing from our local central bank vs 20% israeli. Why? Loan principal is payable in 10 years. If we owe say 80% to a foreign bank, if we default, their legal provisions in loan contract is triggered to the detriment to our interests. To maintain our financial independence, the financial sources must be local so in the event we have a default, it is the same government that will trigger its legal clauses and NOT a foreign entity. Safer, smarter end game.  Congrats for this milestone!!",Gerard Dacudao,0
2236500376432419-9,False,0,"Mr. Piñol, naghihintay ako ng post na katulad nito. Isa rin po akong magsasaka. Since NFA is now closed their rice milling facility will now be mothballed. I think the rice farmers can make full use of it by pooling themselves as one big cooperative and operate the same. Farmers can now sell rice instead of palay. The social media can play a role in selling their rice to the public. If successful, the government can build good rice mills in rice producing regions and hand it over to an established group of legitimate farmers. We had bad experiences with equipments given by the DA. Tools given were not properly researched and examined that most of it became useless. Worst, the system of procurement through lowest bidder resulted in inferior quality of equipment given to us. Hope this be given consideration.",Mati Pagtakhan,2
2236500376432419-10,False,2236500376432419-9,Mati Pagtakhan good idea sir.,Israel Camus,0
2236500376432419-11,False,2236500376432419-9,"Mati Pagtakhan sir whay a wonderful idea, by the farmers for the farmers :)",Bautista Karen,0
2236500376432419-12,False,0,"how to avail po, where affected by dry season every year",Jo Arnante,0
2236500376432419-13,False,0,"Sir sana po kami din dito sa isabela, na 3 hits napo kami ng el nino",Toto Turingan,0
2236500376432419-14,False,0,Congratulation sec.Manny Pinol,Rafael Lamson,0
2236500376432419-15,False,0,Asan dito la union dito po sa agoo para pipiliin na nman kung sino na nman bibigyan,Gie Nisucud,0
2236500376432419-16,False,0,Sir hatagi pud mi sa sta.maria matalam sir bi... Lapad lapad na  basakan naa didto ba.. Covering brgy minamaing and brgy sta.maria,Jonard Nonesa Estabillo,0
2236500376432419-17,False,0,***Replied sticker/image***,Indira Sabillena,0
2236500376432419-18,False,0,"Hopefully the DA bicol will include our town brgy.san vicente buhi, cam.sur sayang lang ng tubig na umaagos sa ""lalo river"".. thanks and God Bless! #mannypiñol👊👊👊👍👍👍",Eduard Iater,0
2236500376432419-19,False,0,Good,Lilia Ygay Griffiths,0
2236500376432419-20,False,0,Sec manny ipa avail pud ang amon nga IA dri sa montay kay hubas na ang main canal namon..salamat daan....,Leo Palencia,0
2236500376432419-21,False,0,***Replied sticker/image***,Rafael Lamson,0
2236500376432419-22,False,0,Meron Po along Nais I para ting sa inyo sir.. Para ng Meron daw ganyan na itatayo sa baryo namin.. Piro bakit 20 ka tao lang ang ma kaka avail Take Note Lahat sila Halos may kaya sa buhay at mga kamag anak at opisyal ng baranggay... I will ask Why DA or Dar never conduct their on survey which farmers are Poorer.. Also the place they choose is near house's they just waist the space of Supposed to 500 acres to cover.. sir Sana po pa survey ng DA or Dar mismo...,Manisha B. Isha,0
2236500376432419-23,False,0,Magandang proyekto po yan...sana makapagavail ang mga kababayan natin sa Albay with the help of DA- RFU V.😁😁😁,Limar B Barcelona,0
2236500376432419-24,False,0,wag lang sana mabahiran ng corruption ang programang ito..,Nilo Colance Carating,0
2236500376432419-25,False,0,***Replied sticker/image***,Nelly Pascual,0
2236500376432419-26,False,0,Just keep on going,Efren M. Delima,0
2236500376432419-27,False,0,bakit d nakakarating yan sa lugar namin kung saan mas mahirap ang mga tao,Jessie Tañola,0
2236500376432419-28,True,0,Sir manny bat wala akong balita about jan sa solar irrigation dito sa ilocos sur.. Sir kelangan nila ng patubig din dito sir..,Bytez Azurin,2
2236500376432419-29,False,2236500376432419-28,Bytez Azurin hindi pa ganoon karami.,MannyPiñol,0
2236500376432419-30,False,2236500376432419-28,MannyPiñol sir mayroon na bang factory ng solar power sa bansa natin? karamihan po ng raw materials nasa atin kagaya ng buhangin sa mt pinatubo kung hindi ako nagkamali.,Domingo Dela Cruz,0
2236500376432419-31,True,0,Secretary wala pa bang budget iyan?,Bitoy Derain,2
2236500376432419-32,False,2236500376432419-31,Bitoy Derain meron P44-b loan offer ang israel.,MannyPiñol,0
2236500376432419-33,False,2236500376432419-31,MannyPiñol dahil iyan po ang higit na kailangan naming mga magsasaka lalo na ngayon el nino at tumataas ang gamit naming diesel fuel sa stw,Bitoy Derain,0
2236500376432419-34,False,0,is lian batangas ARE considered sec..DA 10 years un productive rice plantation in a stemated of 100hectars plantation being forcely stop  missing fund for the irrigation system...,Ronaldo Brenosa Esteron,0
