id,replied_by_author,parent_comment_id,text,author,no_of_replies
2800984356584154-1,False,0,"Happy mother's day ,cong.Ruth Hernandez god bless ..",Luvy Escritor Marasigan,0
2800984356584154-2,False,0,Happy mothers day god bless you always,Dames Olea Eugene Moya,0
2800984356584154-3,False,0,Happy Mother's Day cong ruth Hernandez.,Belinda Perceveranda,0
2800984356584154-4,False,0,Happy mother's sa mahal naming sweetheart na si Cong.Ruth Hernandez 💖,Marjorie Alcira Aliaz,0
2800984356584154-5,False,0,Happy mother's day cong. Ruth Hernandez Goodluck po praying for your win,Thelma A. Nillo,0
2800984356584154-6,False,0,Belated happy mothers day CONG.Ruth Hernandez God Bless with your family mam.....,Mhalyn Tugay,0
2800984356584154-7,False,0,Happy mother's day sweethearth ruth hernandez..,Eden Umali,0
2800984356584154-8,False,0,Happy mother's day congresswoman RUTH M. HERNANDEZ😍😍😍😍😍😍😍,Soñia Mangahas Lechuga,0
2800984356584154-9,False,0,Happy.Mothers day. Congresswoman Ruth Mariano and Congrats po at Kay Gov Ramil  Hernandez Serbisyong Tama Rise.high Laguna,Rodelio Elec,0
2800984356584154-10,False,0,"Happy Mother's Day po,Congresswoman Ruth Hernandez,God Bless you po!😍😍😍",Cecilia Monterey,0
2800984356584154-11,False,0,Happy mothers day cong..ruth god bless po,Celmar Ainos Hercia,0
2800984356584154-12,False,0,"Salamat ho GOV RAMIL ,and happy mothers day cong .RUTH...",Shirley Chavenia,0
2800984356584154-13,False,0,Happy Mothers day Cong. Ruth Hernandez. God Bless po.♥️♥️♥️,Merlie Garcia,0
2800984356584154-14,False,0,Happy mother's day po Cong Ruth,Carol Abrio,0
2800984356584154-15,False,0,"Happy  Mother's Day po,, Cong. Ruth Hernández... and 👍✨✨✨ 🎉😊👏😁👏😃🎉 Congratulations!",Gemma Galve Caballero,0
2800984356584154-16,False,0,Happy mother's day,Scarlet Batistil,0
2800984356584154-17,False,0,Happy mothers po congresswoman Ruth Mariano Hernandez and god bless po,Alimorom Nenita,0
2800984356584154-18,False,0,Happy Mother's Day po Cong. Ruth Hernandez God bless po,Vicky Cuizon Aldipollo,0
2800984356584154-19,False,0,Happy mothers day po kay man Ruth.,Leony Riparip,0
2800984356584154-20,False,0,HaPpY mother's Day 💕,Maricris Depalac Ramos,0
2800984356584154-21,False,0,Happy mothers day din po kay ninang congresswoman Ruth M.Hernandez.thank you po,Janice Olfindo Cerveza,0
2800984356584154-22,False,0,Happy mothers day po Con. Ruth.,Malou Sangel,0
2800984356584154-23,False,0,happy mother day po mam ruth,Eulogio Pucyutan,0
2800984356584154-24,False,0,Thank you po Gov.Ramil...,Amy Cordova Miguel,0
2800984356584154-25,False,0,"Thank you po, Gov. Ramil!.. Happy Mother's Day po ky Congresswoman Ruth!!! God Bless.",Fame Alemrotse,0
