id,replied_by_author,parent_comment_id,text,author,no_of_replies
2800984356584154-26,False,0,Thank You..,Evangeline Eusebio,0
2800984356584154-27,False,0,congrats po gov,Geral Dine,0
2800984356584154-28,False,0,***Replied sticker/image***,Maureen Morante,0
2800984356584154-29,False,0,waLa Po Bang BONUS'Jan GOV.RAMiL !! CONGRATS PO :)),Roxanne Oafericua,0
2800984356584154-30,False,0,tama po napakalakas po ninyo gov Tamil Hernandez kahit po ngayon ko LNG po kayo ibinoto Hindi nmn po ako nagkamali sa pagpili sainyo gov,Len Curod Manalo,0
2800984356584154-31,False,0,Happy Mother's Day po Cong.Ruth Hernandez!God Bless po..,Vangie Ladiana Abadier,0
2800984356584154-32,False,0,Happy2 mothers day to evryone...,Zen Carbonel,0
2800984356584154-33,False,0,Happy Mother s day po tatay mo lloveyou Ruht is a po lloveyou Ramilo we 💓💓,Pablita Alpante,0
2800984356584154-34,False,0,"Happy mothers day po,",Elenor Romero,0
2800984356584154-35,False,0,Happy Mother's Day po  aming Mahal na Congresswoman Ruth Hernandez God bless po,Bern Lerion,0
2800984356584154-36,False,0,Thanks Gov. Ramil,Luz Pambago,0
2800984356584154-37,False,0,***Replied sticker/image***,Marlyn Delosreyes,0
2800984356584154-38,False,0,salamat po....happy mother's day dn po cong. ruth hernandez ...,Marionne Eliseo,0
2800984356584154-39,False,0,💙,Raven Hernandez,0
2800984356584154-40,False,0,Thanks po,Cecile Libang Constantino,0
2800984356584154-41,False,0,Thank you gov..,Eda Mastelero,0
2800984356584154-42,False,0,"Ikaw na gov na kahit abala ay di nakalimutang batiin ang mga ina, maraming salamat po, mabuhay ka❤❤❤",Angie Carangalan,0
2800984356584154-43,True,0,Conggrats po Congg Ruth gove Ramel Hernandez God bless u all family...,Margie Dreu II,1
2800984356584154-44,False,2800984356584154-43,<3 <3 <3,Gov. Ramil Hernandez,0
2800984356584154-45,False,0,***Replied sticker/image***,Melrose Palermo,0
2800984356584154-46,False,0,"Happiest mommy.. Happy Mother's Day s aking napakabuting kumare,na hanga ako s ginagampanan u poh na tungkulin bilang isang asawa aT ina s inyong mga anak at s tungkulin s Bayan s patuloy na pagbibigy ng serbisyong Tama..#napakahusay #DakilangIna #cong.RuthMarianoHernandez",Ikay Aisteru,0
2800984356584154-47,True,0,Governor Ramil,Henry Santos,1
2800984356584154-48,False,2800984356584154-47,Yes po?,Gov. Ramil Hernandez,0
2800984356584154-49,False,0,Happy mothers day po cong Ruth!,Ernesto Bojador,0
2800984356584154-50,False,0,Salamat PO Gob Happy Mother's day PO Kay mam Ruth sa mga sister mo at lalot higit sa Nanay mo God bless PO at good luck PO sa Serbisyong Tama,Cecilia Achoy Ac-ac,0
2800984356584154-51,False,0,Happy mother's day po Congresswoman at sa lahat po ng Ina❤😊,Renz Marcial Real Carpio,0
2800984356584154-52,False,0,***Replied sticker/image***,Rose Lee,0
2800984356584154-53,False,0,Happy mother'sday cong.Ruth Hernandez god bless po!!,Maryjane Tamayo,0
2800984356584154-54,False,0,Congratz po,Yelf Rodad,0
2800984356584154-55,False,0,Salamat po Gov.,Alice Divinagracia,0
2800984356584154-56,False,0,***Replied sticker/image***,Marlyn Delosreyes,0
2800984356584154-57,False,0,Congrats po,Henry Santos,0
